Number,Name,Description,Completed,Room,Game,# ppl,Tags,Difficulty,Duration
81,STARTING A RIVALRY,Win 25 competitive mode games,,N/A,N/A,,Competitive,Easy,Multi-day
82,THE GAUNTLET,Beat levels 1 through 10 of a single game in a row without losing,,Grid,Zones,3,,Medium,Partial Day
83,THE GAUNTLET PLUS,Beat levels 1 through 10 in a row without repeating a game and without losing a life.,,TBD,TBD,,,Hard,Partial Day
84,THE GRAND TOUR,Win a level from every room in a row without losing a life.,,TBD,TBD,,,Medium,Partial Day
85,THE MARATHON,"Beat Relay level 5, Mega Relay level 5 and Laser Relay level 5 in a row.",,,"Laser Relay, Mega Relay, Relay",,,Medium,Quick
86,THE ULTIMATE WINNER,Win 100 competitive mode games,,N/A,N/A,,Competitive,Hard,Multi-day
87,THUMB WAR,Score exactly 1234 points in any one level,,TBD,TBD,,,Medium,Quick
88,TIPTOEING,Complete Zones level 5 without stepping on any wrong colours,,Grid,Zones,,,???,Quick
89,TOTAL RECALL,Complete Flip level 6 without revealing a target more than twice,,,Flip,,,???,
90,TOTAL RECALL 2.0,Complete Sequence level 6 without revealing a number more than twice,,,Sequence,,,???,
91,TOTAL RECALL 3.0,Complete Link level 8 without making a mistake,,,Link,,,???,
92,UNTOUCHABLE,Win level 1 of Mega Grid without losing a life,,,Mega Grid,,,Easy,
93,UNTOUCHABLE 2.0,Win level 2 of Maze without losing a life,,,Maze,,,Easy,
94,UNTOUCHABLE 4.0,Win level 4 of Order Up without losing a life,,,Order Up,,,Medium,
95,UNTOUCHABLE 5.0,Win level 5 of Wormholes without losing a life,,,Wormholes,,,???,
96,UNTOUCHABLE 6.0,Win level 6 of Gauntiet without losing a life,,,Gauntlet,,,???,
97,UNTOUCHABLE 7.0,Win level 7 of Mega Zones without losing a life,Kyle,,Mega Zones,,,???,
98,UNTOUCHABLE 8.0,Win level 8 of Defuse without losing a life,,,Defuse,,,???,
99,UNTOUCHABLE 9.0,Win level 9 of Asteroids without losing a life,,,Asteroids,,,???,
100,UNTOUCHABLE MASTER,Win level 10 of Relay without losing a life,,,Relay,,,???,
101,UP TO DATE,Sign up for the Activate Newsletter from the website or from the,Kyle,N/A,N/A,,,Easy,Meta
102,WIN/LOSS,Win twice as many games as you lose in one visit,Kyle,N/A,N/A,,Per-visit,Easy,All day
